"Theta"[deg]	"UN [dBi]"	
-1.80000000E+2	2.30591077E+0	
-1.79000000E+2	2.98874032E+0	
-1.78000000E+2	3.44602417E+0	
-1.77000000E+2	3.64845827E+0	
-1.76000000E+2	3.61103102E+0	
-1.75000000E+2	3.37977196E+0	
-1.74000000E+2	3.02319720E+0	
-1.73000000E+2	2.61710826E+0	
-1.72000000E+2	2.21750954E+0	
-1.71000000E+2	1.83384459E+0	
-1.70000000E+2	1.42625795E+0	
-1.69000000E+2	9.32983361E-1	
-1.68000000E+2	3.08767984E-1	
-1.67000000E+2	-4.43824439E-1	
-1.66000000E+2	-1.25811405E+0	
-1.65000000E+2	-2.01917076E+0	
-1.64000000E+2	-2.63549078E+0	
-1.63000000E+2	-3.12801523E+0	
-1.62000000E+2	-3.62943267E+0	
-1.61000000E+2	-4.28182620E+0	
-1.60000000E+2	-5.12264145E+0	
-1.59000000E+2	-5.99856919E+0	
-1.58000000E+2	-6.58184469E+0	
-1.57000000E+2	-6.67536130E+0	
-1.56000000E+2	-6.51378825E+0	
-1.55000000E+2	-6.51404437E+0	
-1.54000000E+2	-6.93002467E+0	
-1.53000000E+2	-7.75976583E+0	
-1.52000000E+2	-8.71302794E+0	
-1.51000000E+2	-9.32887659E+0	
-1.50000000E+2	-9.49214359E+0	
-1.49000000E+2	-9.59296374E+0	
-1.48000000E+2	-9.96242495E+0	
-1.47000000E+2	-1.05986773E+1	
-1.46000000E+2	-1.14184045E+1	
-1.45000000E+2	-1.27273904E+1	
-1.44000000E+2	-1.54690489E+1	
-1.43000000E+2	-2.19096405E+1	
-1.42000000E+2	-2.66191802E+1	
-1.41000000E+2	-1.85959706E+1	
-1.40000000E+2	-1.67940766E+1	
-1.39000000E+2	-1.82091112E+1	
-1.38000000E+2	-1.74109727E+1	
-1.37000000E+2	-1.32071784E+1	
-1.36000000E+2	-1.10187409E+1	
-1.35000000E+2	-1.12493529E+1	
-1.34000000E+2	-1.33579697E+1	
-1.33000000E+2	-1.47516185E+1	
-1.32000000E+2	-1.42494765E+1	
-1.31000000E+2	-1.58268420E+1	
-1.30000000E+2	-2.37434927E+1	
-1.29000000E+2	-2.64721219E+1	
-1.28000000E+2	-1.98864332E+1	
-1.27000000E+2	-2.03386104E+1	
-1.26000000E+2	-1.61242532E+1	
-1.25000000E+2	-1.23983686E+1	
-1.24000000E+2	-1.25362530E+1	
-1.23000000E+2	-1.62824007E+1	
-1.22000000E+2	-1.69479350E+1	
-1.21000000E+2	-1.61012073E+1	
-1.20000000E+2	-2.50803393E+1	
-1.19000000E+2	-1.63624427E+1	
-1.18000000E+2	-1.08974892E+1	
-1.17000000E+2	-1.19004078E+1	
-1.16000000E+2	-1.76605653E+1	
-1.15000000E+2	-1.24608581E+1	
-1.14000000E+2	-1.05709066E+1	
-1.13000000E+2	-1.53110111E+1	
-1.12000000E+2	-2.88036142E+1	
-1.11000000E+2	-1.70247167E+1	
-1.10000000E+2	-1.69928095E+1	
-1.09000000E+2	-1.19944336E+1	
-1.08000000E+2	-9.69584309E+0	
-1.07000000E+2	-1.31768196E+1	
-1.06000000E+2	-3.78900993E+1	
-1.05000000E+2	-1.73947639E+1	
-1.04000000E+2	-2.06422197E+1	
-1.03000000E+2	-1.60695326E+1	
-1.02000000E+2	-1.15769402E+1	
-1.01000000E+2	-1.40652212E+1	
-1.00000000E+2	-2.58558878E+1	
-9.90000000E+1	-2.42250039E+1	
-9.80000000E+1	-1.75122836E+1	
-9.70000000E+1	-1.10747234E+1	
-9.60000000E+1	-1.18289134E+1	
-9.50000000E+1	-2.06714788E+1	
-9.40000000E+1	-9.61944805E+0	
-9.30000000E+1	-9.36136148E+0	
-9.20000000E+1	-2.76963488E+1	
-9.10000000E+1	-5.54888022E+0	
-9.00000000E+1	-2.22242049E+0	
-8.90000000E+1	-4.82365000E+0	
-8.80000000E+1	-1.83670523E+1	
-8.70000000E+1	-1.06213280E+1	
-8.60000000E+1	-9.65708621E+0	
-8.50000000E+1	-1.64817979E+1	
-8.40000000E+1	-1.48950927E+1	
-8.30000000E+1	-1.57339314E+1	
-8.20000000E+1	-2.15345758E+1	
-8.10000000E+1	-1.84222211E+1	
-8.00000000E+1	-1.90280022E+1	
-7.90000000E+1	-1.11197606E+1	
-7.80000000E+1	-8.92458978E+0	
-7.70000000E+1	-1.24062742E+1	
-7.60000000E+1	-1.69037133E+1	
-7.50000000E+1	-1.41741016E+1	
-7.40000000E+1	-2.04406835E+1	
-7.30000000E+1	-1.67941441E+1	
-7.20000000E+1	-1.14343080E+1	
-7.10000000E+1	-1.23218418E+1	
-7.00000000E+1	-1.38546021E+1	
-6.90000000E+1	-1.45164428E+1	
-6.80000000E+1	-2.41638916E+1	
-6.70000000E+1	-1.34554424E+1	
-6.60000000E+1	-8.91273320E+0	
-6.50000000E+1	-1.04985516E+1	
-6.40000000E+1	-1.97115913E+1	
-6.30000000E+1	-1.37120640E+1	
-6.20000000E+1	-1.09195634E+1	
-6.10000000E+1	-1.43848466E+1	
-6.00000000E+1	-2.53806708E+1	
-5.90000000E+1	-1.78175031E+1	
-5.80000000E+1	-1.56508385E+1	
-5.70000000E+1	-1.37636131E+1	
-5.60000000E+1	-1.19976809E+1	
-5.50000000E+1	-1.31392270E+1	
-5.40000000E+1	-1.80289320E+1	
-5.30000000E+1	-1.86258172E+1	
-5.20000000E+1	-1.66695622E+1	
-5.10000000E+1	-2.09971348E+1	
-5.00000000E+1	-2.19530311E+1	
-4.90000000E+1	-1.41079688E+1	
-4.80000000E+1	-1.20381649E+1	
-4.70000000E+1	-1.30211538E+1	
-4.60000000E+1	-1.45001320E+1	
-4.50000000E+1	-1.31135874E+1	
-4.40000000E+1	-1.16869061E+1	
-4.30000000E+1	-1.19979326E+1	
-4.20000000E+1	-1.39886328E+1	
-4.10000000E+1	-1.73522808E+1	
-4.00000000E+1	-2.21312292E+1	
-3.90000000E+1	-2.60130409E+1	
-3.80000000E+1	-2.06131329E+1	
-3.70000000E+1	-1.67295652E+1	
-3.60000000E+1	-1.52568260E+1	
-3.50000000E+1	-1.50264413E+1	
-3.40000000E+1	-1.40128497E+1	
-3.30000000E+1	-1.15491115E+1	
-3.20000000E+1	-9.30579321E+0	
-3.10000000E+1	-8.07590754E+0	
-3.00000000E+1	-7.89180582E+0	
-2.90000000E+1	-8.50993833E+0	
-2.80000000E+1	-9.26194696E+0	
-2.70000000E+1	-9.11131698E+0	
-2.60000000E+1	-8.01456656E+0	
-2.50000000E+1	-6.91075034E+0	
-2.40000000E+1	-6.32952962E+0	
-2.30000000E+1	-6.28949571E+0	
-2.20000000E+1	-6.47018402E+0	
-2.10000000E+1	-6.29816238E+0	
-2.00000000E+1	-5.43672793E+0	
-1.90000000E+1	-4.21140299E+0	
-1.80000000E+1	-3.11348110E+0	
-1.70000000E+1	-2.37978815E+0	
-1.60000000E+1	-2.02072061E+0	
-1.50000000E+1	-1.89018299E+0	
-1.40000000E+1	-1.71638754E+0	
-1.30000000E+1	-1.22280996E+0	
-1.20000000E+1	-3.57980624E-1	
-1.10000000E+1	6.71580177E-1	
-1.00000000E+1	1.61996553E+0	
-9.00000000E+0	2.34412620E+0	
-8.00000000E+0	2.80353117E+0	
-7.00000000E+0	3.02588968E+0	
-6.00000000E+0	3.08304165E+0	
-5.00000000E+0	3.06874207E+0	
-4.00000000E+0	3.06319666E+0	
-3.00000000E+0	3.09116830E+0	
-2.00000000E+0	3.10634846E+0	
-1.00000000E+0	3.01811686E+0	
0.00000000E+0	2.73530841E+0	
1.00000000E+0	2.20155668E+0	
2.00000000E+0	1.43009982E+0	
3.00000000E+0	5.63891166E-1	
4.00000000E+0	-6.23191802E-2	
5.00000000E+0	-5.99819794E-2	
6.00000000E+0	5.96491717E-1	
7.00000000E+0	1.53222639E+0	
8.00000000E+0	2.38397307E+0	
9.00000000E+0	2.97022255E+0	
1.00000000E+1	3.23215673E+0	
1.10000000E+1	3.16905973E+0	
1.20000000E+1	2.81550291E+0	
1.30000000E+1	2.25140831E+0	
1.40000000E+1	1.63355915E+0	
1.50000000E+1	1.20716801E+0	
1.60000000E+1	1.19967556E+0	
1.70000000E+1	1.61622207E+0	
1.80000000E+1	2.22273066E+0	
1.90000000E+1	2.74754305E+0	
2.00000000E+1	3.01127052E+0	
2.10000000E+1	2.93500339E+0	
2.20000000E+1	2.53472417E+0	
2.30000000E+1	1.95829246E+0	
2.40000000E+1	1.52699046E+0	
2.50000000E+1	1.57915409E+0	
2.60000000E+1	2.08678168E+0	
2.70000000E+1	2.65794379E+0	
2.80000000E+1	2.92186011E+0	
2.90000000E+1	2.69534060E+0	
3.00000000E+1	1.99087135E+0	
3.10000000E+1	1.10780457E+0	
3.20000000E+1	6.93014906E-1	
3.30000000E+1	1.12404191E+0	
3.40000000E+1	1.89773907E+0	
3.50000000E+1	2.36789402E+0	
3.60000000E+1	2.26598581E+0	
3.70000000E+1	1.66086940E+0	
3.80000000E+1	1.01538169E+0	
3.90000000E+1	1.09640441E+0	
4.00000000E+1	2.01062305E+0	
4.10000000E+1	2.97836527E+0	
4.20000000E+1	3.36969989E+0	
4.30000000E+1	3.00022755E+0	
4.40000000E+1	2.15072759E+0	
4.50000000E+1	1.70716363E+0	
4.60000000E+1	2.19854255E+0	
4.70000000E+1	2.79501178E+0	
4.80000000E+1	2.69110144E+0	
4.90000000E+1	1.75470753E+0	
5.00000000E+1	4.80840045E-1	
5.10000000E+1	1.53769063E-1	
5.20000000E+1	1.42761496E+0	
5.30000000E+1	2.96480810E+0	
5.40000000E+1	3.60016474E+0	
5.50000000E+1	3.05034819E+0	
5.60000000E+1	1.92005619E+0	
5.70000000E+1	1.68464805E+0	
5.80000000E+1	2.33096729E+0	
5.90000000E+1	2.66199406E+0	
6.00000000E+1	2.37800895E+0	
6.10000000E+1	1.61562945E+0	
6.20000000E+1	1.43855321E+0	
6.30000000E+1	3.03704136E+0	
6.40000000E+1	4.38744414E+0	
6.50000000E+1	3.88492800E+0	
6.60000000E+1	1.36218636E+0	
6.70000000E+1	-1.72067179E+0	
6.80000000E+1	-8.27557308E-1	
6.90000000E+1	3.15383343E+0	
7.00000000E+1	5.56270442E+0	
7.10000000E+1	5.11371910E+0	
7.20000000E+1	1.50437742E+0	
7.30000000E+1	-1.86237742E+0	
7.40000000E+1	-6.08225039E-2	
7.50000000E+1	3.59826548E+0	
7.60000000E+1	6.40157203E+0	
7.70000000E+1	5.53425248E+0	
7.80000000E+1	5.54593964E-1	
7.90000000E+1	2.86494924E+0	
8.00000000E+1	3.86335214E+0	
8.10000000E+1	5.46266468E+0	
8.20000000E+1	9.47916055E+0	
8.30000000E+1	7.26202318E+0	
8.40000000E+1	2.99036736E+0	
8.50000000E+1	1.29373444E+1	
8.60000000E+1	1.09461791E+1	
8.70000000E+1	1.42972075E+1	
8.80000000E+1	2.52790029E+1	
8.90000000E+1	2.98252325E+1	
9.00000000E+1	3.11775001E+1	
9.10000000E+1	2.98512629E+1	
9.20000000E+1	2.53539842E+1	
9.30000000E+1	1.45898177E+1	
9.40000000E+1	1.05946537E+1	
9.50000000E+1	1.27237426E+1	
9.60000000E+1	2.75428797E+0	
9.70000000E+1	7.24946950E+0	
9.80000000E+1	9.33438204E+0	
9.90000000E+1	5.14334015E+0	
1.00000000E+2	3.81458122E+0	
1.01000000E+2	2.86403429E+0	
1.02000000E+2	1.12235837E-1	
1.03000000E+2	5.36879491E+0	
1.04000000E+2	6.31915686E+0	
1.05000000E+2	3.50519432E+0	
1.06000000E+2	-2.15834261E-1	
1.07000000E+2	-2.06990573E+0	
1.08000000E+2	1.39622384E+0	
1.09000000E+2	5.08386555E+0	
1.10000000E+2	5.56903904E+0	
1.11000000E+2	3.18232525E+0	
1.12000000E+2	-8.58111583E-1	
1.13000000E+2	-1.98569880E+0	
1.14000000E+2	1.11297138E+0	
1.15000000E+2	3.72262523E+0	
1.16000000E+2	4.29903638E+0	
1.17000000E+2	3.06107419E+0	
1.18000000E+2	1.64106064E+0	
1.19000000E+2	1.87237035E+0	
1.20000000E+2	2.58415445E+0	
1.21000000E+2	2.80534985E+0	
1.22000000E+2	2.38978799E+0	
1.23000000E+2	1.62486084E+0	
1.24000000E+2	1.79274413E+0	
1.25000000E+2	2.96713110E+0	
1.26000000E+2	3.57952649E+0	
1.27000000E+2	3.00224637E+0	
1.28000000E+2	1.53615389E+0	
1.29000000E+2	3.41918356E-1	
1.30000000E+2	6.87647673E-1	
1.31000000E+2	1.92198348E+0	
1.32000000E+2	2.80914306E+0	
1.33000000E+2	2.86132760E+0	
1.34000000E+2	2.20246284E+0	
1.35000000E+2	1.64448682E+0	
1.36000000E+2	2.05201946E+0	
1.37000000E+2	2.88675517E+0	
1.38000000E+2	3.23280856E+0	
1.39000000E+2	2.80667581E+0	
1.40000000E+2	1.81859667E+0	
1.41000000E+2	9.62761170E-1	
1.42000000E+2	1.03106433E+0	
1.43000000E+2	1.80414378E+0	
1.44000000E+2	2.47984790E+0	
1.45000000E+2	2.63453497E+0	
1.46000000E+2	2.23026518E+0	
1.47000000E+2	1.53415729E+0	
1.48000000E+2	1.12565547E+0	
1.49000000E+2	1.44174583E+0	
1.50000000E+2	2.17236778E+0	
1.51000000E+2	2.74382810E+0	
1.52000000E+2	2.86756353E+0	
1.53000000E+2	2.53066568E+0	
1.54000000E+2	1.93205003E+0	
1.55000000E+2	1.46467764E+0	
1.56000000E+2	1.49229529E+0	
1.57000000E+2	1.96234690E+0	
1.58000000E+2	2.50528224E+0	
1.59000000E+2	2.82665825E+0	
1.60000000E+2	2.81882690E+0	
1.61000000E+2	2.51306177E+0	
1.62000000E+2	2.04723353E+0	
1.63000000E+2	1.64122662E+0	
1.64000000E+2	1.50302716E+0	
1.65000000E+2	1.67956862E+0	
1.66000000E+2	2.03635826E+0	
1.67000000E+2	2.39652863E+0	
1.68000000E+2	2.64711868E+0	
1.69000000E+2	2.74781411E+0	
1.70000000E+2	2.70053642E+0	
1.71000000E+2	2.52001835E+0	
1.72000000E+2	2.21671948E+0	
1.73000000E+2	1.79673025E+0	
1.74000000E+2	1.28187471E+0	
1.75000000E+2	7.48113517E-1	
1.76000000E+2	3.60157812E-1	
1.77000000E+2	3.31121353E-1	
1.78000000E+2	7.55842727E-1	
1.79000000E+2	1.49683230E+0	
1.80000000E+2	2.30591077E+0	
