"Phi"[deg]	"UV [dBi]"	
0.00000000E+0	3.11775001E+1	
1.00000000E+0	3.02885371E+1	
2.00000000E+0	2.74947933E+1	
3.00000000E+0	2.23401363E+1	
4.00000000E+0	1.35986842E+1	
5.00000000E+0	2.92706827E+0	
6.00000000E+0	3.69569271E+0	
7.00000000E+0	3.40982514E+0	
8.00000000E+0	4.51220847E+0	
9.00000000E+0	3.60349824E+0	
1.00000000E+1	1.40699890E+0	
1.10000000E+1	5.49721529E-1	
1.20000000E+1	1.17305618E+0	
1.30000000E+1	2.62895170E+0	
1.40000000E+1	3.28755089E+0	
1.50000000E+1	2.50518258E+0	
1.60000000E+1	1.01110209E+0	
1.70000000E+1	2.49702318E-1	
1.80000000E+1	9.44151192E-1	
1.90000000E+1	2.10566424E+0	
2.00000000E+1	2.53844390E+0	
2.10000000E+1	1.97253830E+0	
2.20000000E+1	9.19276642E-1	
2.30000000E+1	2.93311877E-1	
2.40000000E+1	5.15566034E-1	
2.50000000E+1	1.07332032E+0	
2.60000000E+1	1.33063546E+0	
2.70000000E+1	1.14247068E+0	
2.80000000E+1	8.12720369E-1	
2.90000000E+1	6.51360307E-1	
3.00000000E+1	6.21969833E-1	
3.10000000E+1	5.62834744E-1	
3.20000000E+1	4.26362612E-1	
3.30000000E+1	2.75874887E-1	
3.40000000E+1	2.13733593E-1	
3.50000000E+1	2.21667507E-1	
3.60000000E+1	1.09809047E-1	
3.70000000E+1	-2.88218442E-1	
3.80000000E+1	-9.49237396E-1	
3.90000000E+1	-1.66952334E+0	
4.00000000E+1	-2.21505468E+0	
4.10000000E+1	-2.50991941E+0	
4.20000000E+1	-2.65416037E+0	
4.30000000E+1	-2.75907595E+0	
4.40000000E+1	-2.82140492E+0	
4.50000000E+1	-2.76079407E+0	
4.60000000E+1	-2.56647308E+0	
4.70000000E+1	-2.35883679E+0	
4.80000000E+1	-2.29065508E+0	
4.90000000E+1	-2.44453033E+0	
5.00000000E+1	-2.81327514E+0	
5.10000000E+1	-3.32219538E+0	
5.20000000E+1	-3.85575699E+0	
5.30000000E+1	-4.28576793E+0	
5.40000000E+1	-4.51240482E+0	
5.50000000E+1	-4.51385761E+0	
5.60000000E+1	-4.36567534E+0	
5.70000000E+1	-4.20290233E+0	
5.80000000E+1	-4.15967913E+0	
5.90000000E+1	-4.33154474E+0	
6.00000000E+1	-4.76400757E+0	
6.10000000E+1	-5.44797211E+0	
6.20000000E+1	-6.30715757E+0	
6.30000000E+1	-7.18099551E+0	
6.40000000E+1	-7.84512273E+0	
6.50000000E+1	-8.13028587E+0	
6.60000000E+1	-8.06445736E+0	
6.70000000E+1	-7.84284213E+0	
6.80000000E+1	-7.67709484E+0	
6.90000000E+1	-7.71409501E+0	
7.00000000E+1	-8.03657299E+0	
7.10000000E+1	-8.67830346E+0	
7.20000000E+1	-9.61878096E+0	
7.30000000E+1	-1.07465939E+1	
7.40000000E+1	-1.18137388E+1	
7.50000000E+1	-1.25061552E+1	
7.60000000E+1	-1.27308234E+1	
7.70000000E+1	-1.27513796E+1	
7.80000000E+1	-1.29281869E+1	
7.90000000E+1	-1.35077823E+1	
8.00000000E+1	-1.46165018E+1	
8.10000000E+1	-1.62766087E+1	
8.20000000E+1	-1.83008659E+1	
8.30000000E+1	-2.00256979E+1	
8.40000000E+1	-2.06197876E+1	
8.50000000E+1	-2.04180331E+1	
8.60000000E+1	-2.04127088E+1	
8.70000000E+1	-2.11517193E+1	
8.80000000E+1	-2.27843751E+1	
8.90000000E+1	-2.48084100E+1	
9.00000000E+1	-2.50306514E+1	
9.10000000E+1	-2.28437359E+1	
9.20000000E+1	-2.05700824E+1	
9.30000000E+1	-1.90093641E+1	
9.40000000E+1	-1.80918383E+1	
9.50000000E+1	-1.75852042E+1	
9.60000000E+1	-1.72141127E+1	
9.70000000E+1	-1.67443484E+1	
9.80000000E+1	-1.61127740E+1	
9.90000000E+1	-1.54468970E+1	
1.00000000E+2	-1.49358171E+1	
1.01000000E+2	-1.47224313E+1	
1.02000000E+2	-1.48808987E+1	
1.03000000E+2	-1.54201445E+1	
1.04000000E+2	-1.62594473E+1	
1.05000000E+2	-1.71580803E+1	
1.06000000E+2	-1.76967139E+1	
1.07000000E+2	-1.75813577E+1	
1.08000000E+2	-1.70202711E+1	
1.09000000E+2	-1.64680373E+1	
1.10000000E+2	-1.62409193E+1	
1.11000000E+2	-1.64817686E+1	
1.12000000E+2	-1.72277943E+1	
1.13000000E+2	-1.84085375E+1	
1.14000000E+2	-1.97255421E+1	
1.15000000E+2	-2.05231831E+1	
1.16000000E+2	-2.02663896E+1	
1.17000000E+2	-1.92876980E+1	
1.18000000E+2	-1.82113317E+1	
1.19000000E+2	-1.73557430E+1	
1.20000000E+2	-1.68387674E+1	
1.21000000E+2	-1.67351947E+1	
1.22000000E+2	-1.71214023E+1	
1.23000000E+2	-1.80628983E+1	
1.24000000E+2	-1.95858480E+1	
1.25000000E+2	-2.16624448E+1	
1.26000000E+2	-2.42906210E+1	
1.27000000E+2	-2.77651933E+1	
1.28000000E+2	-3.25609289E+1	
1.29000000E+2	-3.31081916E+1	
1.30000000E+2	-2.85398183E+1	
1.31000000E+2	-2.57138790E+1	
1.32000000E+2	-2.42930539E+1	
1.33000000E+2	-2.34567442E+1	
1.34000000E+2	-2.26566227E+1	
1.35000000E+2	-2.17840737E+1	
1.36000000E+2	-2.09317438E+1	
1.37000000E+2	-2.02905109E+1	
1.38000000E+2	-2.02716455E+1	
1.39000000E+2	-2.13805578E+1	
1.40000000E+2	-2.38730592E+1	
1.41000000E+2	-2.63421834E+1	
1.42000000E+2	-2.55046203E+1	
1.43000000E+2	-2.33253517E+1	
1.44000000E+2	-2.13075867E+1	
1.45000000E+2	-1.98191094E+1	
1.46000000E+2	-1.94803969E+1	
1.47000000E+2	-2.05756901E+1	
1.48000000E+2	-2.28855273E+1	
1.49000000E+2	-2.62516482E+1	
1.50000000E+2	-3.21421646E+1	
1.51000000E+2	-3.17764265E+1	
1.52000000E+2	-2.67630000E+1	
1.53000000E+2	-2.53343079E+1	
1.54000000E+2	-2.37606347E+1	
1.55000000E+2	-2.16304817E+1	
1.56000000E+2	-2.15201452E+1	
1.57000000E+2	-2.37904943E+1	
1.58000000E+2	-2.51409209E+1	
1.59000000E+2	-2.28995642E+1	
1.60000000E+2	-1.96004215E+1	
1.61000000E+2	-1.69261976E+1	
1.62000000E+2	-1.61544031E+1	
1.63000000E+2	-1.73255542E+1	
1.64000000E+2	-1.91464320E+1	
1.65000000E+2	-1.96828976E+1	
1.66000000E+2	-1.82902524E+1	
1.67000000E+2	-1.65829479E+1	
1.68000000E+2	-1.70618897E+1	
1.69000000E+2	-2.09962510E+1	
1.70000000E+2	-2.71266344E+1	
1.71000000E+2	-3.26581083E+1	
1.72000000E+2	-2.67799434E+1	
1.73000000E+2	-2.01484700E+1	
1.74000000E+2	-2.07139042E+1	
1.75000000E+2	-2.83745847E+1	
1.76000000E+2	-2.78436978E+1	
1.77000000E+2	-1.72498545E+1	
1.78000000E+2	-8.35138076E+0	
1.79000000E+2	-3.74620753E+0	
1.80000000E+2	-2.22242049E+0	
1.81000000E+2	-3.35598866E+0	
1.82000000E+2	-7.18299886E+0	
1.83000000E+2	-1.36908543E+1	
1.84000000E+2	-1.97530118E+1	
1.85000000E+2	-1.82192246E+1	
1.86000000E+2	-1.50498150E+1	
1.87000000E+2	-1.51468918E+1	
1.88000000E+2	-1.90278565E+1	
1.89000000E+2	-2.62858884E+1	
1.90000000E+2	-3.02794078E+1	
1.91000000E+2	-2.18880196E+1	
1.92000000E+2	-1.77673011E+1	
1.93000000E+2	-1.77182517E+1	
1.94000000E+2	-2.05309930E+1	
1.95000000E+2	-2.28662895E+1	
1.96000000E+2	-2.19415563E+1	
1.97000000E+2	-1.96995722E+1	
1.98000000E+2	-1.84265307E+1	
1.99000000E+2	-1.94773622E+1	
2.00000000E+2	-2.23991341E+1	
2.01000000E+2	-2.45853152E+1	
2.02000000E+2	-2.58136213E+1	
2.03000000E+2	-2.42031489E+1	
2.04000000E+2	-2.12075649E+1	
2.05000000E+2	-2.03023971E+1	
2.06000000E+2	-2.07584648E+1	
2.07000000E+2	-2.11920049E+1	
2.08000000E+2	-2.22760445E+1	
2.09000000E+2	-2.49299207E+1	
2.10000000E+2	-2.55761364E+1	
2.11000000E+2	-2.27180987E+1	
2.12000000E+2	-2.04622866E+1	
2.13000000E+2	-1.91980406E+1	
2.14000000E+2	-1.90963947E+1	
2.15000000E+2	-2.05432137E+1	
2.16000000E+2	-2.37645861E+1	
2.17000000E+2	-2.84318045E+1	
2.18000000E+2	-3.27759142E+1	
2.19000000E+2	-3.15353233E+1	
2.20000000E+2	-2.66610795E+1	
2.21000000E+2	-2.34093829E+1	
2.22000000E+2	-2.16034766E+1	
2.23000000E+2	-2.04421042E+1	
2.24000000E+2	-1.95639892E+1	
2.25000000E+2	-1.91759628E+1	
2.26000000E+2	-1.95771579E+1	
2.27000000E+2	-2.09013074E+1	
2.28000000E+2	-2.31768203E+1	
2.29000000E+2	-2.62891837E+1	
2.30000000E+2	-2.86434018E+1	
2.31000000E+2	-2.71254498E+1	
2.32000000E+2	-2.45454911E+1	
2.33000000E+2	-2.29664825E+1	
2.34000000E+2	-2.23621931E+1	
2.35000000E+2	-2.22967807E+1	
2.36000000E+2	-2.22379591E+1	
2.37000000E+2	-2.18761243E+1	
2.38000000E+2	-2.12517570E+1	
2.39000000E+2	-2.04292028E+1	
2.40000000E+2	-1.93835003E+1	
2.41000000E+2	-1.82122026E+1	
2.42000000E+2	-1.71661324E+1	
2.43000000E+2	-1.64783905E+1	
2.44000000E+2	-1.62815897E+1	
2.45000000E+2	-1.66224488E+1	
2.46000000E+2	-1.74645282E+1	
2.47000000E+2	-1.86035694E+1	
2.48000000E+2	-1.94953972E+1	
2.49000000E+2	-1.94579069E+1	
2.50000000E+2	-1.85695209E+1	
2.51000000E+2	-1.75285404E+1	
2.52000000E+2	-1.67879350E+1	
2.53000000E+2	-1.64635697E+1	
2.54000000E+2	-1.64818925E+1	
2.55000000E+2	-1.66260909E+1	
2.56000000E+2	-1.65831486E+1	
2.57000000E+2	-1.61519582E+1	
2.58000000E+2	-1.54500318E+1	
2.59000000E+2	-1.47808236E+1	
2.60000000E+2	-1.43950506E+1	
2.61000000E+2	-1.44317399E+1	
2.62000000E+2	-1.49543487E+1	
2.63000000E+2	-1.59745582E+1	
2.64000000E+2	-1.74293604E+1	
2.65000000E+2	-1.91013994E+1	
2.66000000E+2	-2.05792388E+1	
2.67000000E+2	-2.15798974E+1	
2.68000000E+2	-2.24060370E+1	
2.69000000E+2	-2.36446063E+1	
2.70000000E+2	-2.54263576E+1	
2.71000000E+2	-2.60663112E+1	
2.72000000E+2	-2.36981873E+1	
2.73000000E+2	-2.07622067E+1	
2.74000000E+2	-1.86755561E+1	
2.75000000E+2	-1.75337833E+1	
2.76000000E+2	-1.72375128E+1	
2.77000000E+2	-1.76386401E+1	
2.78000000E+2	-1.83542553E+1	
2.79000000E+2	-1.84685405E+1	
2.80000000E+2	-1.72389408E+1	
2.81000000E+2	-1.53034841E+1	
2.82000000E+2	-1.35126022E+1	
2.83000000E+2	-1.21578542E+1	
2.84000000E+2	-1.12475753E+1	
2.85000000E+2	-1.07056001E+1	
2.86000000E+2	-1.04273404E+1	
2.87000000E+2	-1.02912588E+1	
2.88000000E+2	-1.01671552E+1	
2.89000000E+2	-9.93826045E+0	
2.90000000E+2	-9.53707812E+0	
2.91000000E+2	-8.97155612E+0	
2.92000000E+2	-8.31453527E+0	
2.93000000E+2	-7.66267912E+0	
2.94000000E+2	-7.09614464E+0	
2.95000000E+2	-6.65690536E+0	
2.96000000E+2	-6.34373349E+0	
2.97000000E+2	-6.11907740E+0	
2.98000000E+2	-5.92817381E+0	
2.99000000E+2	-5.72782198E+0	
3.00000000E+2	-5.50882697E+0	
3.01000000E+2	-5.29332893E+0	
3.02000000E+2	-5.11068696E+0	
3.03000000E+2	-4.97538233E+0	
3.04000000E+2	-4.88272416E+0	
3.05000000E+2	-4.81867254E+0	
3.06000000E+2	-4.76904688E+0	
3.07000000E+2	-4.71701638E+0	
